time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-03T15:44:03.246Z,62.0325,-148.7417,23,1,ml,,,,0.47,ak,ak02372xydvo,2023-06-03T15:46:30.068Z,"28 km N of Sutton-Alpine, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-06-03T15:41:19.160Z,18.0311666666667,-66.849,15.66,2.53,md,9,121,0.0628,0.13,pr,pr71412233,2023-06-03T16:09:28.100Z,"0 km SSE of Yauco, Puerto Rico",earthquake,0.46,0.99,0.131994111306168,6,reviewed,pr,pr
2023-06-03T15:37:21.710Z,53.5001,-163.2189,25.6,3.6,ml,,,,0.85,ak,ak02372xwxf8,2023-06-03T18:53:24.043Z,"151 km S of False Pass, Alaska",earthquake,,3.2,,,reviewed,ak,ak
2023-06-03T15:28:24.510Z,38.8144989,-122.7610016,2.08,0.89,md,16,112,0.01389,0.03,nc,nc73896411,2023-06-03T15:45:10.854Z,"3km WSW of Cobb, CA",earthquake,0.28,0.54,0.17,15,automatic,nc,nc
2023-06-03T15:24:59.464Z,53.4936,-163.2118,18.161,4.8,mb,89,109,1.341,1.05,us,us7000k642,2023-06-03T18:49:32.689Z,"152 km S of False Pass, Alaska",earthquake,7.2,4.765,0.061,83,reviewed,us,us
2023-06-03T15:23:58.500Z,38.8083344,-122.7776642,-0.22,1.03,md,7,103,0.005454,0.03,nc,nc73896406,2023-06-03T15:25:32.762Z,"4km NNW of The Geysers, CA",earthquake,0.32,0.83,0.21,9,automatic,nc,nc
2023-06-03T15:23:56.830Z,41.1803333,-111.2471667,11.28,2.52,ml,26,71,0.1367,0.12,uu,uu60541576,2023-06-03T23:28:18.270Z,"Utah",earthquake,0.39,0.68,0.185,17,reviewed,uu,uu
2023-06-03T15:23:18.450Z,38.8061676,-122.7713318,0.66,0.76,md,7,119,0.01018,0.02,nc,nc73896401,2023-06-03T16:31:13.151Z,"4km NNW of The Geysers, CA",earthquake,0.34,0.77,0.08,8,automatic,nc,nc
2023-06-03T15:19:41.090Z,48.53216666666667,-123.42533333333333,22.58,1.59,ml,24,74,0.1184,0.22,uw,uw61930296,2023-06-03T21:57:46.110Z,"7 km S of Saanichton, Canada",earthquake,0.43,0.79,0.1389215852017991,16,reviewed,uw,uw
2023-06-03T15:18:26.680Z,38.8053322,-122.774498,-0.07,0.39,md,7,109,0.009275,0.02,nc,nc73896396,2023-06-03T15:33:10.781Z,"4km NNW of The Geysers, CA",earthquake,0.37,0.96,0.18,7,automatic,nc,nc
2023-06-03T15:10:25.705Z,39.6157,-119.9789,6.6,1.4,ml,14,112.59,0.016,0.1238,nn,nn00860787,2023-06-03T15:31:40.002Z,"7 km S of Cold Springs, Nevada",earthquake,,1,0.29,5,reviewed,nn,nn
2023-06-03T15:07:28.852Z,39.4142,37.1015,10,4.1,mb,40,39,1.027,1.05,us,us7000k63z,2023-06-03T20:06:49.040Z,"Central Turkey",earthquake,1.87,1.936,0.262,4,reviewed,us,us
2023-06-03T15:01:57.250Z,38.8113327,-122.7768326,0.22,0.77,md,11,71,0.003572,0.03,nc,nc73896381,2023-06-03T15:19:10.695Z,"4km NNW of The Geysers, CA",earthquake,0.28,0.59,0.18,12,automatic,nc,nc
2023-06-03T15:00:03.720Z,38.8031654,-122.8069992,2.85,0.77,md,10,134,0.01032,0.05,nc,nc73896376,2023-06-03T15:01:37.175Z,"5km WNW of The Geysers, CA",earthquake,0.49,0.97,0.05,11,automatic,nc,nc
2023-06-03T14:58:36.600Z,38.8063316,-122.7796631,1.45,1.7,md,35,45,0.006963,0.04,nc,nc73896371,2023-06-03T17:01:13.335Z,"4km NNW of The Geysers, CA",earthquake,0.17,0.26,0.15,34,automatic,nc,nc
2023-06-03T14:49:40.060Z,18.1171666666667,-67.0273333333333,19.06,2.43,md,11,97,0.02404,0.12,pr,pr71412218,2023-06-03T15:06:23.510Z,"Mona Passage",earthquake,0.38,0.45,0.0795755938506271,7,reviewed,pr,pr
2023-06-03T14:49:01.220Z,38.8144989,-122.7606659,1.54,1.1,md,15,113,0.01387,0.04,nc,nc73896361,2023-06-03T16:31:14.151Z,"3km WSW of Cobb, CA",earthquake,0.28,0.49,0.14,18,automatic,nc,nc
2023-06-03T14:41:04.130Z,38.8121681,-122.7776642,0.46,0.97,md,8,82,0.002599,0.01,nc,nc73896346,2023-06-03T15:37:14.802Z,"4km NNW of The Geysers, CA",earthquake,0.27,0.61,0.21,11,automatic,nc,nc
2023-06-03T14:38:30.372Z,36.6971,-116.3224,9,-0.3,ml,3,236.5,0.053,0.0144,nn,nn00860794,2023-06-03T17:56:41.362Z,"45 km ESE of Beatty, Nevada",earthquake,,5.2,0,1,reviewed,nn,nn
2023-06-03T14:35:11.830Z,38.8068352,-122.7803345,1.63,0.75,md,10,91,0.00642,0.02,nc,nc73896341,2023-06-03T14:49:11.524Z,"4km NNW of The Geysers, CA",earthquake,0.44,0.6,0.12,11,automatic,nc,nc
2023-06-03T14:33:44.220Z,19.3928337097168,-155.279159545898,1.73000001907349,1.94,ml,22,51,,0.219999999,hv,hv73438037,2023-06-03T14:39:19.370Z,"7 km SW of Volcano, Hawaii",earthquake,0.37,0.270000011,0.32,10,automatic,hv,hv
2023-06-03T14:32:28.240Z,46.7848333333333,-112.924,3.69,1.56,ml,29,48,0.2189,0.18,mb,mb90016713,2023-06-03T15:37:39.370Z,"21 km NE of Drummond, Montana",earthquake,0.31,8.4,0.122263954696767,8,reviewed,mb,mb
2023-06-03T14:31:18.340Z,38.8061676,-122.7705002,0.6,0.92,md,14,82,0.01008,0.03,nc,nc73896331,2023-06-03T15:13:13.659Z,"3km NNW of The Geysers, CA",earthquake,0.24,0.45,0.24,15,automatic,nc,nc
2023-06-03T14:20:20.940Z,38.8043327,-122.7786636,2.02,0.26,md,8,89,0.009052,0.02,nc,nc73896326,2023-06-03T15:03:14.599Z,"4km NNW of The Geysers, CA",earthquake,0.53,1.23,0.03,8,automatic,nc,nc
